shortname,category,Assignment,Chat,Choice,Database,Feedback,Folder,Forum,Glossary,Label,Language Lesson,Lesson,LTI,Quiz,SCORM,Survey,Wiki,Workshop
ENGL323-00-F15,84,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENGL350-00-F15,84,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
ENGL395-01-F15,84,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0
ENGL395-02-F15,84,7,0,0,0,0,0,24,0,40,0,0,0,0,0,0,0,0
ENTS100-00-F15,84,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0
ENTS100-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENTS100-02-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTS120-00-F15,84,10,0,0,0,1,3,6,0,104,0,0,1,2,0,0,0,0
ENTS120L-51-F15,84,8,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0
ENTS120L-53-F15,84,7,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0
ENTS120L-WL1-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTS120L-WL3-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTS260-00-F15,84,13,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
ENTS287-00-F15,84,26,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0
ENTS395-00-F15,84,7,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0
EUST100-00-F15,84,13,0,0,0,0,0,26,0,36,0,0,0,0,0,0,0,0
FREN101-01-F15,84,11,0,0,0,0,13,2,0,59,0,0,0,0,0,0,0,0
FREN101-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FREN101-03-F15,84,10,0,0,0,0,16,2,0,57,0,0,0,0,0,0,0,0
FREN103-00-F15,84,5,0,0,0,0,3,2,0,53,0,0,0,14,0,0,0,0
FREN204-01-F15,84,8,0,0,0,0,0,1,0,55,0,0,0,37,0,0,0,0
FREN204-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
