"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"ENGL220-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL220-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL234-00-W16",85,4,0,0,0,0,0,18,0,7,0,0,0,0,0,0,0,0
"ENGL248-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL258-00-W16",85,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENGL270-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL286-00-W16",85,13,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,3
"ENGL291-12-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL295-00-W16",85,12,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0
"ENGL310-00-W16",85,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,2,0
"ENGL319-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL352-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENGL395-00-W16",85,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"ENGL400-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENTS215-00-W16",85,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENTS238-07-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENTS239-07-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENTS261-00-W16",85,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"ENTS280-07-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENTS284-07-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENTS400-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EUST110-00-W16",85,9,0,1,0,0,0,20,0,38,0,0,0,0,0,0,0,0
"FREN102-01-W16",85,11,0,0,0,0,1,1,0,60,0,0,0,0,0,0,0,0
"FREN102-02-W16",85,11,0,0,0,0,1,1,0,61,0,0,0,0,0,0,0,0
"FREN102-03-W16",85,11,0,0,0,0,2,0,0,59,0,0,0,0,0,0,0,0
"FREN204-00-W16",85,8,0,0,0,0,0,1,0,53,0,0,0,37,0,0,0,0
"FREN206-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FREN210-00-W16",85,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"FREN225-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FREN239-00-W16",85,5,0,0,0,0,0,1,0,54,0,0,0,0,0,0,0,0
