"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"HIST225-00-s20",110,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0
"hist226-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hist238-00-s20",110,13,0,0,0,0,0,13,0,47,0,0,0,0,0,0,0,0
"hist243-00-s20",110,14,0,0,0,0,13,15,0,7,0,0,0,0,0,0,0,0
"hist252-00-s20",110,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"HIST263-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HIST270-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HIST282-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HIST284-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HIST285-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hist307-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hist341-00-s20",110,5,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0
"hist382-00-s20",110,4,0,0,0,0,0,7,0,28,0,0,3,0,0,0,0,0
"idsc198-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"idsc198-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IDSC198-s20 (Hollingsworth)",110,0,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0
"idsc202-00-s20",110,3,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0
"idsc251-01-s20",110,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"idsc251-02-s20",110,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"IDSC251-s20 (Cooper)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IDSC251-s20 (Rubenstein)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"idsc280-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"idsc289-00-s20",110,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
"idsc298-00-s20",110,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"jalli400-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"japn103-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"japn103-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JAPN103-s20 (Kaga)",110,1,0,0,0,0,0,4,0,1,0,0,12,26,0,0,0,0
"japn206-00-s20",110,13,0,0,0,0,0,5,0,44,0,0,22,11,0,0,0,0
